Project,sha,class_,method
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionStartXCommand,testActionStartWithEscapeStrings
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionUpdatePushMissingDependency,testUpdateCoordTableAdvanced
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordActionUpdatePushMissingDependency,testUpdateCoordTableBasic
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordChangeXCommand,testCoordActionDelete
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordChangeXCommand,testCoordChangeEndTime
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordChangeXCommand,testCoordChangePauseTime
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordChangeXCommand,testCoordChangeStatus
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordChangeXCommand,testCoordChangeXCommand
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordCommandUtils,testDryRunPullAndPushDeps
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordCommandUtils,testDryRunPullDeps
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordCommandUtils,testDryRunPushDependencies
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordJobsXCommand,testCoordJobsGet
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordKillXCommand,testCoordKillFailed
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordKillXCommand,testCoordKillFailedOnAction
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordKillXCommand,testCoordKillForBackwardSupport
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordKillXCommand,testCoordKillRemovePushMissingDeps
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordKillXCommand,testCoordKillSuccess1
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordKillXCommand,testCoordKillSuccess2
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordKillXCommand,testCoordKillWaiting
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordKillXCommand,testCoordKillXCommandUniqueness
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordPushDependencyCheckXCommand,testLogMessagePrefix
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordPushDependencyCheckXCommand,testRequeueOnException
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordPushDependencyCheckXCommand,testResolveCoordConfiguration
oozie,4412cbc22e77dd712e8b5d4d2930c7b278623786,org.apache.oozie.command.coord.TestCoordPushDependencyCheckXCommand,testTimeOut
